Interval,GMTIntervalEnd,STLF,MTLF,Actual Load,STWF,MTWF,Actual Wind, STSF, MTSF, Actual Solar
06/14/2020 17:05:00,06/14/2020 22:05:00,,,,,,,,,
06/14/2020 17:00:00,06/14/2020 22:00:00,,37352.079,,,14423.620,,,218.140,
06/14/2020 16:55:00,06/14/2020 21:55:00,,,,,,,,,
06/14/2020 16:50:00,06/14/2020 21:50:00,,,,,,,,,
06/14/2020 16:45:00,06/14/2020 21:45:00,,,,,,,,,
06/14/2020 16:40:00,06/14/2020 21:40:00,,,,,,,,,
06/14/2020 16:35:00,06/14/2020 21:35:00,,,,,,,,,
06/14/2020 16:30:00,06/14/2020 21:30:00,,,,,,,,,
06/14/2020 16:25:00,06/14/2020 21:25:00,,,,,,,,,
06/14/2020 16:20:00,06/14/2020 21:20:00,,,,,,,,,
06/14/2020 16:15:00,06/14/2020 21:15:00,,,,,,,,,
06/14/2020 16:10:00,06/14/2020 21:10:00,,,,,,,,,
06/14/2020 16:05:00,06/14/2020 21:05:00,,,,,,,,,
06/14/2020 16:00:00,06/14/2020 21:00:00,,36514.779,,,14436.530,,,219.320,
06/14/2020 15:55:00,06/14/2020 20:55:00,,,,,,,,,
06/14/2020 15:50:00,06/14/2020 20:50:00,,,,,,,,,
06/14/2020 15:45:00,06/14/2020 20:45:00,,,,,,,,,
06/14/2020 15:40:00,06/14/2020 20:40:00,,,,,,,,,
06/14/2020 15:35:00,06/14/2020 20:35:00,,,,,,,,,
06/14/2020 15:30:00,06/14/2020 20:30:00,,,,,,,,,
06/14/2020 15:25:00,06/14/2020 20:25:00,,,,,,,,,
06/14/2020 15:20:00,06/14/2020 20:20:00,,,,,,,,,
06/14/2020 15:15:00,06/14/2020 20:15:00,,,,,,,,,
06/14/2020 15:10:00,06/14/2020 20:10:00,,,,,,,,,
06/14/2020 15:05:00,06/14/2020 20:05:00,,,,,,,,,
06/14/2020 15:00:00,06/14/2020 20:00:00,,35271.175,,,14517.920,,,220.390,
06/14/2020 14:55:00,06/14/2020 19:55:00,,,,,,,,,
06/14/2020 14:50:00,06/14/2020 19:50:00,,,,,,,,,
06/14/2020 14:45:00,06/14/2020 19:45:00,,,,,,,,,
06/14/2020 14:40:00,06/14/2020 19:40:00,,,,,,,,,
06/14/2020 14:35:00,06/14/2020 19:35:00,,,,,,,,,
06/14/2020 14:30:00,06/14/2020 19:30:00,,,,,,,,,
06/14/2020 14:25:00,06/14/2020 19:25:00,,,,,,,,,
06/14/2020 14:20:00,06/14/2020 19:20:00,,,,,,,,,
06/14/2020 14:15:00,06/14/2020 19:15:00,,,,,,,,,
06/14/2020 14:10:00,06/14/2020 19:10:00,,,,,,,,,
